,Player,Pos,Age,Date,Lg,Tm,Unnamed: 7,Opp,Result,G#,Week,Day,Tgt,Rec,Rec Yds,Y/Rec,Rec TDs,Ctch%,Y/Tgt
206,Dallas Goedert,TE,23.246,9/6/2018,NFL,PHI,,ATL,W 18-12,1,1,Thu,3,1,4,4.0,0,33.3,1.33
207,Christian Kirk,WR,21.295,9/9/2018,NFL,ARI,,WAS,L 6-24,1,1,Sun,2,1,4,4.0,0,50.0,2.0
208,Ian Thomas,TE,22.095,9/9/2018,NFL,CAR,,DAL,W 16-8,1,1,Sun,2,2,4,2.0,0,100.0,2.0
209,C.J. Uzomah,TE,25.238000000000003,9/9/2018,NFL,CIN,@,IND,W 34-23,1,1,Sun,1,1,4,4.0,0,100.0,4.0
210,Carlos Hyde,RB,27.354,9/9/2018,NFL,CLE,,PIT,T 21-21,1,1,Sun,2,1,3,3.0,0,50.0,1.5
211,John Ross,WR,23.285999999999998,9/9/2018,NFL,CIN,@,IND,W 34-23,1,1,Sun,2,1,3,3.0,1,50.0,1.5
212,Jacquizz Rodgers,RB,28.215,9/9/2018,NFL,TAM,@,NOR,W 48-40,1,1,Sun,1,1,2,2.0,0,100.0,2.0
213,Travis Benjamin,WR,28.254,9/9/2018,NFL,LAC,,KAN,L 28-38,1,1,Sun,5,1,1,1.0,0,20.0,0.2
214,De'Anthony Thomas,WR,25.247,9/9/2018,NFL,KAN,@,LAC,W 38-28,1,1,Sun,2,1,1,1.0,1,50.0,0.5
215,LeSean McCoy,RB,30.059,9/9/2018,NFL,BUF,@,BAL,L 3-47,1,1,Sun,3,1,-1,-1.0,0,33.3,-0.33
216,Doug Martin,RB,29.24,9/10/2018,NFL,OAK,,LAR,L 13-33,1,1,Mon,2,2,-3,-1.5,0,100.0,-1.5
217,Brandin Cooks,WR,24.355999999999998,9/16/2018,NFL,LAR,,ARI,W 34-0,2,2,Sun,9,7,159,22.71,0,77.8,17.67
218,Jesse James,TE,24.104,9/16/2018,NFL,PIT,,KAN,L 37-42,2,2,Sun,5,5,138,27.6,1,100.0,27.6
219,Adam Thielen,WR,28.025,9/16/2018,NFL,MIN,@,GNB,T 29-29,2,2,Sun,13,12,131,10.92,1,92.3,10.08
220,DeSean Jackson,WR,31.289,9/16/2018,NFL,TAM,,PHI,W 27-21,2,2,Sun,4,4,129,32.25,1,100.0,32.25
221,Stefon Diggs,WR,24.291,9/16/2018,NFL,MIN,@,GNB,T 29-29,2,2,Sun,13,9,128,14.22,2,69.2,9.85
222,JuJu Smith-Schuster,WR,21.298000000000002,9/16/2018,NFL,PIT,,KAN,L 37-42,2,2,Sun,19,13,121,9.31,1,68.4,6.37
